fecha,Tasa_Activa_TAMN,Tasa_Pasiva_TIPMN,Tasa_Interbancaria,Tasa_Referencia_BCRP,Spread_Bancario
2010-01-01,19.97548,1.444581,1.0,1.25,18.530899
2010-02-01,19.76036,1.39174,1.21524,1.25,18.36862
2010-03-01,19.48806,1.35968,1.23264,1.25,18.12838
2010-04-01,19.39367,1.29767,1.2197,1.25,18.096
2010-05-01,19.17935,1.33258,1.4461,1.5,17.84677
2010-06-01,19.124,1.38977,1.62,1.75,17.73423
2010-07-01,18.205,1.4506,1.9,2.0,16.754399999999997
2010-08-01,18.0813,1.6216,2.377,2.5,16.459699999999998
2010-09-01,18.3447,1.748,2.741,3.0,16.5967
2010-10-01,18.7145,1.839,2.945,3.0,16.875500000000002
2010-11-01,18.718,1.842,2.974,3.0,16.876
2010-12-01,18.733,1.802,2.9789,3.0,16.931
2011-01-01,18.679,1.865,3.2107,3.25,16.814
2011-02-01,18.58,1.989,3.3868,3.5,16.590999999999998
2011-03-01,18.6542,2.0394,3.6787,3.75,16.6148
2011-04-01,18.512,2.0897,3.9686,4.0,16.4223
2011-05-01,18.4926,2.3042,4.2338,4.25,16.1884
2011-06-01,18.581,2.477,4.277,4.25,16.104
2011-07-01,18.54,2.4761,4.2598,4.25,16.0639
2011-08-01,18.659,2.5197,4.2298,4.25,16.1393
2011-09-01,18.717,2.5533,4.272,4.25,16.1637
2011-10-01,19.0103,2.5842,4.2683,4.25,16.4261
2011-11-01,18.849,2.5703,4.2555,4.25,16.2787
2011-12-01,18.861,2.4681,4.2422,4.25,16.3929
2012-01-01,19.0294,2.4645,4.2288,4.25,16.564899999999998
2012-02-01,18.7579,2.5004,4.2284,4.25,16.2575
2012-03-01,19.0135,2.5203,4.25,4.25,16.4932
2012-04-01,19.2147,2.4393,4.241,4.25,16.7754
2012-05-01,19.341,2.4561,4.2429,4.25,16.884900000000002
2012-06-01,19.6167,2.4757,4.231,4.25,17.141000000000002
2012-07-01,19.469,2.4835,4.2458,4.25,16.985500000000002
2012-08-01,19.4068,2.4274,4.2191,4.25,16.979400000000002
2012-09-01,19.3003,2.4527,4.234,4.25,16.8476
2012-10-01,19.3323,2.4474,4.2392,4.25,16.884900000000002
2012-11-01,19.2763,2.4423,4.2479,4.25,16.834
2012-12-01,19.085,2.37,4.2439,4.25,16.715
2013-01-01,19.4116,2.3774,4.1518,4.25,17.0342
2013-02-01,19.27,2.3671,4.2008,4.25,16.9029
2013-03-01,19.0781,2.2871,4.2404,4.25,16.791
2013-04-01,19.0897,2.309,4.2005,4.25,16.7807
2013-05-01,18.9452,2.3039,4.2542,4.25,16.6413
2013-06-01,18.8077,2.3187,4.2605,4.25,16.489
2013-07-01,18.4748,2.3271,4.3269,4.25,16.147699999999997
2013-08-01,18.1187,2.3158,4.5161,4.25,15.802900000000001
2013-09-01,17.5843,2.3467,4.2737,4.25,15.237599999999999
2013-10-01,16.6471,2.3432,4.2484,4.25,14.303899999999999
2013-11-01,16.3673,2.3327,4.183,4.0,14.034600000000001
2013-12-01,15.8765,2.2697,4.0884,4.0,13.6068
2014-01-01,15.9881,2.2552,4.121,4.0,13.732899999999999
2014-02-01,15.8071,2.2636,4.1738,4.0,13.5435
2014-03-01,15.6132,2.2732,4.0133,4.0,13.34
2014-04-01,15.5293,2.2957,4.0539,4.0,13.2336
2014-05-01,15.6132,2.3419,3.954,4.0,13.2713
2014-06-01,16.0437,2.403,3.9999,4.0,13.6407
2014-07-01,15.9294,2.3829,3.8491,3.75,13.5465
2014-08-01,15.8752,2.3319,3.7588,3.75,13.543299999999999
2014-09-01,15.689,2.324,3.6975,3.5,13.365
2014-10-01,15.5535,2.3087,3.5292,3.5,13.2448
2014-11-01,15.6087,2.2923,3.6415,3.5,13.316400000000002
2014-12-01,15.6694,2.2739,3.7956,3.5,13.3955
2015-01-01,16.1668,2.2448,3.3439,3.25,13.921999999999999
2015-02-01,15.9979,2.22,3.4305,3.25,13.777899999999999
2015-03-01,16.0777,2.2281,3.3527,3.25,13.8496
2015-04-01,15.9223333333333,2.21466666666667,3.5151,3.25,13.707666666666631
2015-05-01,16.0042,2.2732,3.4798,3.25,13.731000000000002
2015-06-01,16.1823,2.2477,3.4243,3.25,13.934600000000001
2015-07-01,16.1542,2.2132,3.4638,3.25,13.940999999999999
2015-08-01,16.2516,2.2558,3.6141,3.25,13.9958
2015-09-01,16.0927,2.365,3.6609,3.5,13.7277
2015-10-01,16.2439,2.37870967741936,3.521,3.5,13.86519032258064
2015-11-01,16.083,2.424,3.5,3.5,13.658999999999999
2015-12-01,16.0933,2.4073,3.765,3.75,13.686
2016-01-01,16.2358,2.4981,3.973,4.0,13.7377
2016-02-01,16.1293,2.57,4.5857,4.25,13.5593
2016-03-01,16.0516,2.6139,4.8352,4.25,13.4377
2016-04-01,15.9873,2.6137,4.4641,4.25,13.3736
2016-05-01,16.0206,2.7061,4.4392,4.25,13.314500000000002
2016-06-01,16.2,2.6457,4.3666,4.25,13.5543
2016-07-01,16.3787,2.7039,4.2855,4.25,13.674799999999998
2016-08-01,16.4984,2.7113,4.1886,4.25,13.7871
2016-09-01,16.8447,2.705,4.2501,4.25,14.1397
2016-10-01,17.0642,2.7081,4.2555,4.25,14.3561
2016-11-01,17.0273,2.6703,4.2852,4.25,14.357
2016-12-01,17.1565,2.6303,4.374,4.25,14.526200000000001
2017-01-01,17.7387,2.7,4.2517,4.25,15.038700000000002
2017-02-01,17.0679,2.7339,4.249,4.25,14.334000000000001
2017-03-01,16.9577,2.7077,4.2453,4.25,14.25
2017-04-01,16.844,2.7083,4.2922,4.25,14.135700000000002
2017-05-01,16.7794,2.7294,4.0746,4.0,14.049999999999999
2017-06-01,17.084,2.7223,4.002,4.0,14.361699999999999
2017-07-01,17.0961,2.6939,3.8392,3.75,14.4022
2017-08-01,16.9332,2.6571,3.7296,3.75,14.2761
2017-09-01,16.6457,2.596,3.612,3.5,14.049700000000001
2017-10-01,16.4035,2.5858,3.5012,3.5,13.817700000000002
2017-11-01,16.1023,2.5397,3.3541,3.25,13.5626
2017-12-01,15.7974,2.461,3.2568,3.25,13.3364
2018-01-01,15.8884,2.4206,3.0962,3.0,13.4678
2018-02-01,15.6932,2.3446,3.0108,3.0,13.3486
2018-03-01,15.1135,2.2861,2.8079,2.75,12.8274
2018-04-01,14.347,2.2337,2.7517,2.75,12.113299999999999
2018-05-01,14.0677,2.1994,2.7579,2.75,11.868300000000001
2018-06-01,14.0947,2.26,2.7849,2.75,11.8347
2018-07-01,14.0626,2.2606,2.7428,2.75,11.802
2018-08-01,14.2242,2.2616,2.7502,2.75,11.9626
2018-09-01,14.302,2.2863,2.7462,2.75,12.015699999999999
2018-10-01,14.1619,2.3381,2.7694,2.75,11.823799999999999
2018-11-01,14.2185,2.353,2.7525,2.75,11.8655
2018-12-01,14.2958,2.3594,2.7544,2.75,11.936399999999999
2019-01-01,14.321,2.4245,2.752,2.75,11.8965
2019-02-01,14.3586,2.4704,2.7514,2.75,11.8882
2019-03-01,14.4926,2.4184,2.7542,2.75,12.0742
2019-04-01,14.509,2.4783,2.7524,2.75,12.0307
2019-05-01,14.4781,2.4839,2.7504,2.75,11.9942
2019-06-01,14.589,2.4923,2.7923,2.75,12.0967
2019-07-01,14.501,2.4655,2.7527,2.75,12.035499999999999
2019-08-01,14.4355,2.4068,2.5642,2.5,12.028699999999999
2019-09-01,14.4193,2.3203,2.5038,2.5,12.099
2019-10-01,14.2445,2.2823,2.5045,2.5,11.9622
2019-11-01,14.192,2.266,2.2984,2.25,11.926
2019-12-01,14.0848,2.1952,2.2501,2.25,11.8896
2020-01-01,14.351,2.1571,2.249,2.25,12.193900000000001
2020-02-01,14.2166,2.1403,2.2433,2.25,12.0763
2020-03-01,14.0555,2.0994,1.8384,1.25,11.9561
2020-04-01,13.3643,1.9517,0.6135,0.25,11.4126
2020-05-01,12.7823,1.7423,0.2414,0.25,11.04
2020-06-01,12.4427,1.4927,0.169,0.25,10.950000000000001
2020-07-01,12.2887,1.3048,0.1752,0.25,10.9839
2020-08-01,12.3435,1.1994,0.1674,0.25,11.1441
2020-09-01,12.4423,1.1513,0.1106,0.25,11.291
2020-10-01,12.4984,1.1065,0.2489,0.25,11.3919
2020-11-01,12.3737,1.0603,0.1883,0.25,11.3134
2020-12-01,12.101,1.01,0.2276,0.25,11.091000000000001
2021-01-01,12.0323,0.9526,0.2207,0.25,11.079699999999999
2021-02-01,11.8846,0.9139,0.1737,0.25,10.9707
2021-03-01,11.1365,0.8919,0.25,0.25,10.2446
2021-04-01,11.0793,0.8914,0.249,0.25,10.187899999999999
2021-05-01,10.8042,0.8623,0.25,0.25,9.9419
2021-06-01,10.683,0.819,0.25,0.25,9.864
2021-07-01,10.6816,0.7865,0.25,0.25,9.8951
2021-08-01,10.6861,0.7632,0.4879,0.5,9.9229
2021-09-01,10.4913,0.7803,0.7745,1.0,9.711
2021-10-01,10.5577,0.8197,1.2916,1.5,9.738000000000001
2021-11-01,10.7307,0.9177,1.7181,2.0,9.813
2021-12-01,10.9868,1.0332,2.2519,2.5,9.953600000000002
2022-01-01,11.1277,1.1216,2.9861,3.0,10.0061
2022-02-01,11.2939,1.3082,3.3511,3.5,9.985700000000001
2022-03-01,11.5168,1.4668,3.8782,4.0,10.05
2022-04-01,11.8497,1.5737,4.4543,4.5,10.276
2022-05-01,12.1248,1.8519,4.8926,5.0,10.2729
2022-06-01,12.4933,2.0823,5.2778,5.5,10.411
2022-07-01,12.6616,2.2897,5.8918,6.0,10.3719
2022-08-01,12.9406,2.4726,6.2823,6.5,10.468
2022-09-01,13.3757,2.6123,6.6726,6.75,10.7634
2022-10-01,13.5935,2.7542,6.9748,7.0,10.839300000000001
2022-11-01,13.926,2.9257,7.1999,7.25,11.0003
2022-12-01,14.2635,2.9706,7.4533,7.5,11.2929
2023-01-01,14.4623,3.1671,7.6413,7.75,11.295200000000001
2023-02-01,14.7364,3.3196,7.7612,7.75,11.4168
2023-03-01,14.8803,3.4381,7.7382,7.75,11.4422
2023-04-01,15.1693,3.5837,7.7459,7.75,11.5856
2023-05-01,15.2971,3.7155,7.746,7.75,11.5816
2023-06-01,15.539,3.7597,7.7164,7.75,11.7793
2023-07-01,15.6423,3.8658,7.7481,7.75,11.7765
2023-08-01,15.7516,3.9045,7.7452,7.75,11.8471
2023-09-01,15.9513,3.963,7.6024,7.5,11.988299999999999
2023-10-01,15.9116,3.9019,7.2814,7.25,12.0097
2023-11-01,15.876,3.7447,7.0889,7.0,12.1313
2023-12-01,15.8642,3.5484,6.858,6.75,12.3158
2024-01-01,15.8087,3.4516,6.601,6.5,12.357099999999999
2024-02-01,15.7303,3.3383,6.3599,6.25,12.392
2024-03-01,15.76,3.2448,6.2368,6.25,12.5152
2024-04-01,15.734,3.1577,6.0761,6.0,12.5763
2024-05-01,15.7542,3.0468,5.8595,5.75,12.7074
2024-06-01,15.6527,2.9473,5.7409,5.75,12.7054
